Date,Close,Return,Sentiment_Score,Article_Count,Prev_Sentiment,Prev_Count
2026-03-02,208.38999938964844,-0.007666669573102691,-0.40739954,9,-0.2326338,23.0
2026-03-03,208.72999572753906,0.0016315386481426941,0.26024196,14,-0.40739954,9.0
2026-03-04,216.82000732421875,0.03875826073047883,0.12461687,14,0.26024196,14.0
2026-03-05,218.94000244140625,0.009777672934109694,0.17219067,6,0.12461687,14.0
2026-03-06,213.2100067138672,-0.026171534044230005,0.41105646,5,0.17219067,6.0
2026-03-09,213.49000549316406,0.0013132534612816382,-0.1066306,14,0.41105646,5.0
2026-03-10,214.3300018310547,0.00393459326562029,0.19641075,19,-0.1066306,14.0
2026-03-11,212.64999389648438,-0.007838417021498345,-0.0947009,16,0.19641075,19.0
2026-03-12,209.52999877929688,-0.014671973697334195,0.09478283,15,-0.0947009,16.0
2026-03-13,207.6699981689453,-0.008877013416636048,-0.1702331,11,0.09478283,15.0
2026-03-16,211.74000549316406,0.0195984367511175,0.09884268,3,-0.1702331,11.0
2026-03-17,215.1999969482422,0.016340754535353108,0.13057378,5,0.09884268,3.0
2026-03-18,209.8699951171875,-0.024767666852414494,0.014846083,15,0.13057378,5.0
2026-03-19,208.75999450683594,-0.005288991452693126,0.028618578,9,0.014846083,15.0
2026-03-20,205.3699951171875,-0.01623874055782004,-0.14851691,10,0.028618578,9.0
2026-03-23,210.13999938964844,0.02322639327005427,0.19920604,12,-0.14851691,10.0
2026-03-24,207.24000549316406,-0.013800294588880768,-0.16707784,8,0.19920604,12.0
2026-03-25,211.7100067138672,0.021569200454641724,0.067978226,1,-0.16707784,8.0
